,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,9.17,9.22,9.03,9.15,1882000,9.063561
3651,2014-12-31,9.11,9.3,9.07,9.22,5214500,9.043152
3652,2015-01-01,9.2,9.4,9.1,9.28,5520000,9.0199375
3653,2015-01-02,9.3,9.64,9.1,9.55,25249000,9.014305
3654,2015-01-05,9.74,10.2,9.7,10.0,47882500,9.077299
3655,2015-01-06,10.1,10.35,9.8,10.19,19378000,9.228588
3656,2015-01-07,10.35,10.43,10.02,10.08,15487000,9.413669
3657,2015-01-08,10.04,10.05,9.77,9.93,15867500,9.556117
3658,2015-01-09,9.9,10.07,9.75,9.96,11333000,9.638266
3659,2015-01-12,10.01,10.23,9.93,10.0,12058000,9.67634
3660,2015-01-13,9.96,10.1,9.9,10.01,6316000,9.671889
3661,2015-01-14,10.0,10.02,9.81,9.85,7311000,9.653366
3662,2015-01-15,9.84,9.99,9.75,9.87,7909500,9.621338
3663,2015-01-16,9.95,10.55,9.95,10.28,32837500,9.604304
3664,2015-01-19,10.24,10.48,10.24,10.29,13125000,9.654812
3665,2015-01-20,10.27,10.48,10.15,10.25,6473000,9.718363
3666,2015-01-21,10.13,10.23,9.87,9.9,16588000,9.765654
3667,2015-01-22,9.9,9.97,9.55,9.6,8307000,9.75848
3668,2015-01-23,9.0,9.33,8.9,9.14,11095500,9.684982
3669,2015-01-26,9.2,9.37,8.84,8.98,36418000,9.484815
3670,2015-01-27,9.2,9.23,8.92,9.04,28127000,9.261667
3671,2015-01-28,9.15,9.21,8.82,8.86,14259500,9.073797
3672,2015-01-29,8.85,8.9,8.68,8.73,8489500,8.923414
3673,2015-01-30,8.8,8.87,8.64,8.7,11893000,8.792781
3674,2015-02-02,8.7,8.89,8.51,8.76,20272500,8.714825
3675,2015-02-03,8.8,8.85,8.5,8.53,30075500,8.675278
3676,2015-02-04,8.56,8.62,8.38,8.41,21721500,8.598831
3677,2015-02-05,8.56,8.62,8.38,8.41,21721500,8.518858
3678,2015-02-06,8.44,8.6,8.31,8.33,11848500,8.454264
3679,2015-02-09,8.37,8.54,8.31,8.37,4376500,8.389313
3680,2015-02-10,8.4,8.45,8.16,8.32,5371000,8.329611
3681,2015-02-11,8.4,8.55,8.33,8.44,17921000,8.297388
3682,2015-02-12,8.48,8.48,8.19,8.39,10619500,8.302934
3683,2015-02-13,8.39,8.48,8.3,8.4,5039000,8.305422
3684,2015-02-16,8.5,8.5,8.35,8.38,5503000,8.317577
3685,2015-02-17,8.45,8.69,8.35,8.42,30044500,8.318577
3686,2015-02-18,8.45,8.5,8.38,8.41,2859000,8.331789
3687,2015-02-19,8.45,8.47,8.24,8.26,7368500,8.329426
3688,2015-02-20,8.31,8.4,8.21,8.34,4747000,8.3069315
3689,2015-02-23,8.3,8.41,8.26,8.33,5457500,8.290474
3690,2015-02-24,8.33,8.39,8.3,8.33,10985000,8.280265
3691,2015-02-25,8.3,8.33,8.22,8.28,2771500,8.268678
3692,2015-02-26,8.3,8.34,8.15,8.22,19167500,8.250067
